time_s,phase,target_deg,actual_deg,error_deg,output_pwm
0.00,phase1_target0_initial,0.00,0.00,0.00,0.00
0.02,phase1_target0_initial,0.00,0.00,0.00,0.00
0.04,phase1_target0_initial,0.00,0.00,0.00,0.00
0.06,phase1_target0_initial,0.00,0.00,0.00,0.00
0.08,phase1_target0_initial,0.00,0.00,0.00,0.00
0.10,phase1_target0_initial,0.00,0.00,0.00,0.00
0.12,phase1_target0_initial,0.00,0.00,0.00,0.00
0.14,phase1_target0_initial,0.00,0.00,0.00,0.00
0.16,phase1_target0_initial,0.00,0.00,0.00,0.00
0.18,phase1_target0_initial,0.00,0.00,0.00,0.00
0.20,phase1_target0_initial,0.00,0.00,0.00,0.00
0.22,phase1_target0_initial,0.00,0.00,0.00,0.00
0.24,phase2_target90,90.00,0.00,90.00,255.00
0.26,phase2_target90,90.00,2.83,87.17,255.00
0.28,phase2_target90,90.00,9.11,80.89,255.00
0.30,phase2_target90,90.00,17.59,72.41,255.00
0.32,phase2_target90,90.00,27.33,62.67,255.00
0.34,phase2_target90,90.00,38.01,51.99,255.00
0.36,phase2_target90,90.00,49.01,40.99,255.00
0.38,phase2_target90,90.00,60.31,29.69,241.35
0.40,phase2_target90,90.00,71.31,18.69,133.01
0.42,phase2_target90,90.00,81.36,8.64,37.21
0.44,phase2_target90,90.00,88.59,1.41,-35.00
0.46,phase2_target90,90.00,92.04,-2.04,-36.61
0.48,phase2_target90,90.00,92.98,-2.98,-35.00
0.50,phase2_target90,90.00,92.67,-2.67,-35.00
0.52,phase2_target90,90.00,92.04,-2.04,-35.00
0.54,phase2_target90,90.00,91.10,-1.10,-35.00
0.56,phase2_target90,90.00,89.84,0.16,8.92
0.58,phase2_target90,90.00,89.21,0.79,35.00
0.60,phase2_target90,90.00,89.21,0.79,35.00
0.62,phase2_target90,90.00,89.84,0.16,-0.50
0.64,phase2_target90,90.00,90.79,-0.79,-35.00
0.66,phase2_target90,90.00,90.79,-0.79,-35.00
0.68,phase2_target90,90.00,89.84,0.16,7.35
0.70,phase2_target90,90.00,89.53,0.47,7.35
0.72,phase2_target90,90.00,89.53,0.47,5.78
0.74,phase2_target90,90.00,89.53,0.47,5.78
0.76,phase2_target90,90.00,89.53,0.47,5.82
0.78,phase2_target90,90.00,89.53,0.47,5.82
0.80,phase2_target90,90.00,89.53,0.47,5.82
0.82,phase2_target90,90.00,89.53,0.47,5.82
